-10,2.098828115676900000E-46
-9.99,2.563258110765070000E-46
-9.98,3.129831436077340000E-46
-9.97,3.820873833996100000E-46
-9.96,4.663560204440700000E-46
-9.95,5.690961125982210000E-46
-9.94,6.943313768487480000E-46
-9.93,8.469564993261640000E-46
-9.92,1.032924455011800000E-45
-9.91,1.259473851801390000E-45
-9.9,1.535404794150140000E-45
-9.89,1.871413552655070000E-45
-9.88,2.280498491791640000E-45
-9.87,2.778452327130800000E-45
-9.86,3.384458949148820000E-45
-9.85,4.121816877420070000E-45
-9.84,5.018816032663450000E-45
-9.83,6.109800100165260000E-45
-9.82,7.436453505442280000E-45
-9.81,9.049360170481660000E-45
-9.8,1.100989105754820000E-44
-9.79,1.339248938034390000E-44
-9.78,1.628743669661900000E-44
-9.77,1.980420038421290000E-44
-9.76,2.407548386746570000E-44
-9.75,2.926212611550170000E-44
-9.74,3.555902727566390000E-44
-9.73,4.320231387857310000E-44
-9.72,5.247800113694770000E-44
-9.71,6.373246298869660000E-44
-9.7,7.738508453968320000E-44
-9.69,9.394354867120810000E-44
-9.68,1.140223014273500000E-43
-9.67,1.383648526125110000E-43
-9.66,1.678707026188650000E-43
-9.65,2.036278485088000000E-43
-9.64,2.469520173015590000E-43
-9.63,2.994340089311200000E-43
-9.62,3.629968134382450000E-43
-9.61,4.399645061509860000E-43
-9.6,5.331453324814640000E-43
-9.59,6.459318842096710000E-43
-9.58,7.824218582907590000E-43
-9.57,9.475635972592990000E-43
-9.56,1.147331460563120000E-42
-9.55,1.388937097872810000E-42
-9.54,1.681083921664860000E-42
-9.53,2.034273549107190000E-42
-9.52,2.461174750564980000E-42
-9.51,2.977067563194730000E-42
-9.5,3.600377772769820000E-42
-9.49,4.353320019366700000E-42
-9.48,5.262671443617710000E-42
-9.47,6.360702179490390000E-42
-9.46,7.686294261789080000E-42
-9.45,9.286286823316930000E-42
-9.44,1.121709301370200000E-41
-9.43,1.354664312576330000E-41
-9.42,1.635671926001960000E-41
-9.41,1.974575984363290000E-41
-9.4,2.383222786902050000E-41
-9.39,2.875865532840950000E-41
-9.38,3.469649859565390000E-41
-9.37,4.185196615506120000E-41
-9.36,5.047301196203370000E-41
-9.35,6.085772584820790000E-41
-9.34,7.336439798225340000E-41
-9.33,8.842358890243770000E-41
-9.32,1.065526018009040000E-40
-9.31,1.283728315830470000E-40
